Date,Time,Location/Area,Accident Type,Severity,Vehicle Type
2025-01-03,20:28:00,East,Hit-and-run,Minor,Auto
2025-01-04,08:18:00,Highway,Collision,Moderate,Motorcycle
2025-01-04,06:45:00,South,Rear-end,Moderate,Truck
2025-01-04,17:10:00,East,Single Vehicle,Minor,Truck
2025-01-04,03:33:00,South,Single Vehicle,Severe,Car
2025-01-04,13:49:00,South,Collision,Fatal,Car
2025-01-04,17:06:00,East,Collision,Moderate,Unknown
2025-01-04,08:43:00,Highway,Collision,Moderate,Bus
2025-01-04,20:57:00,South,Collision,Moderate,Motorcycle
2025-01-04,01:33:00,East,Rear-end,Minor,Car
2025-01-04,19:58:00,Industrial,Single Vehicle,Moderate,Bus
2025-01-04,14:19:00,North,Rear-end,Severe,Car
2025-01-04,06:49:00,North,Pedestrian,Fatal,Truck
2025-01-04,11:37:00,Suburban,Hit-and-run,Severe,Motorcycle
2025-01-04,07:23:00,Industrial,Collision,Minor,Truck
2025-01-04,14:09:00,West,Collision,Minor,Auto
2025-01-05,02:31:00,West,Hit-and-run,Minor,Bus
2025-01-05,13:51:00,Central,Single Vehicle,Minor,Motorcycle
2025-01-05,16:14:00,West,Hit-and-run,Minor,Car
2025-01-05,03:36:00,East,Collision,Minor,Bus
2025-01-05,17:19:00,West,Collision,Moderate,Motorcycle
2025-01-05,07:02:00,South,Collision,Moderate,Car
2025-01-05,03:36:00,Central,Rear-end,Moderate,Truck
2025-01-05,01:56:00,North,Pedestrian,Severe,Car
2025-01-05,05:39:00,Suburban,Collision,Minor,Car
2025-01-05,21:07:00,South,Pedestrian,Minor,Auto
2025-01-05,09:39:00,East,Rear-end,Moderate,Motorcycle
2025-01-05,03:43:00,Central,Hit-and-run,Moderate,Car
2025-01-05,21:55:00,Central,Single Vehicle,Moderate,Truck
2025-01-05,17:22:00,Industrial,Collision,Minor,Auto
2025-01-06,11:39:00,East,Single Vehicle,Minor,Car
2025-01-06,01:10:00,East,Collision,Moderate,Truck
2025-01-06,09:45:00,North,Rear-end,Severe,Bus
2025-01-06,03:07:00,Industrial,Single Vehicle,Severe,Car
2025-01-06,13:28:00,Central,Single Vehicle,Moderate,Motorcycle
2025-01-06,15:29:00,North,Rear-end,Moderate,Car
2025-01-06,14:55:00,East,Rear-end,Severe,Bus
2025-01-06,07:59:00,North,Hit-and-run,Moderate,Auto
2025-01-06,13:09:00,North,Pedestrian,Moderate,Car
2025-01-06,22:38:00,West,Collision,Severe,Bus
2025-01-06,07:27:00,West,Pedestrian,Moderate,Bus
2025-01-06,20:48:00,Highway,Rear-end,Severe,Car
2025-01-06,15:35:00,South,Rear-end,Minor,Truck
2025-01-06,12:12:00,Central,Rear-end,Moderate,Car
2025-01-07,17:31:00,North,Rear-end,Severe,Auto
2025-01-07,14:35:00,Suburban,Single Vehicle,Minor,Motorcycle
2025-01-07,20:36:00,West,Rear-end,Severe,Truck
2025-01-07,23:25:00,Industrial,Single Vehicle,Minor,Truck
2025-01-07,12:21:00,Central,Collision,Severe,Motorcycle
2025-01-07,08:03:00,East,Hit-and-run,Moderate,Auto
2025-01-07,14:30:00,Central,Pedestrian,Minor,Motorcycle
2025-01-07,12:17:00,West,Hit-and-run,Minor,Auto
2025-01-07,00:37:00,Suburban,Rear-end,Moderate,Motorcycle
2025-01-07,06:23:00,Suburban,Rear-end,Moderate,Car
2025-01-07,08:55:00,West,Single Vehicle,Minor,Auto
2025-01-07,23:22:00,East,Pedestrian,Severe,Truck
2025-01-07,00:21:00,Suburban,Collision,Moderate,Truck
2025-01-07,11:01:00,Industrial,Single Vehicle,Moderate,Bicycle
2025-01-08,07:30:00,Central,Rear-end,Minor,Car
2025-01-08,23:54:00,East,Collision,Severe,Motorcycle
2025-01-08,10:10:00,North,Single Vehicle,Minor,Car
2025-01-08,18:27:00,East,Rear-end,Moderate,Truck
2025-01-08,16:45:00,East,Pedestrian,Severe,Bus
2025-01-08,07:31:00,West,Collision,Minor,Bicycle
2025-01-08,02:04:00,South,Collision,Moderate,Motorcycle
2025-01-08,02:37:00,Central,Rear-end,Minor,Bus
2025-01-08,00:09:00,East,Collision,Moderate,Auto
2025-01-08,04:39:00,Highway,Pedestrian,Moderate,Truck
2025-01-08,09:45:00,Industrial,Collision,Severe,Car
2025-01-08,06:23:00,South,Rear-end,Severe,Motorcycle
2025-01-08,08:34:00,Suburban,Collision,Moderate,Bicycle
2025-01-08,06:43:00,Suburban,Collision,Moderate,Bicycle
2025-01-08,08:47:00,North,Pedestrian,Moderate,Truck
2025-01-09,07:59:00,Central,Collision,Minor,Auto
2025-01-09,11:22:00,Industrial,Hit-and-run,Moderate,Car
2025-01-09,01:16:00,Highway,Single Vehicle,Severe,Car
2025-01-09,00:00:00,Suburban,Hit-and-run,Minor,Bicycle
2025-01-09,15:54:00,Highway,Pedestrian,Minor,Car
2025-01-09,22:30:00,West,Collision,Minor,Car
2025-01-09,22:30:00,East,Collision,Minor,Motorcycle
2025-01-09,23:41:00,Central,Single Vehicle,Minor,Motorcycle
2025-01-09,04:56:00,North,Hit-and-run,Moderate,Motorcycle
2025-01-09,02:54:00,East,Hit-and-run,Moderate,Car
2025-01-09,11:41:00,West,Hit-and-run,Moderate,Auto
2025-01-09,07:52:00,West,Rear-end,Minor,Auto
2025-01-09,21:55:00,Industrial,Collision,Moderate,Car
2025-01-09,02:33:00,North,Pedestrian,Severe,Motorcycle
2025-01-10,00:08:00,West,Hit-and-run,Fatal,Truck
2025-01-10,02:21:00,Central,Rear-end,Moderate,Truck
2025-01-10,04:12:00,South,Single Vehicle,Minor,Car
2025-01-10,14:24:00,Industrial,Collision,Fatal,Car
2025-01-10,13:47:00,Industrial,Collision,Moderate,Car
2025-01-10,02:17:00,Suburban,Single Vehicle,Minor,Car
2025-01-10,00:50:00,North,Pedestrian,Minor,Motorcycle
2025-01-10,04:11:00,East,Rear-end,Minor,Truck
2025-01-10,22:39:00,South,Collision,Minor,Bus
2025-01-10,13:16:00,East,Collision,Minor,Bus
2025-01-10,06:14:00,Highway,Hit-and-run,Severe,Car
2025-01-10,08:41:00,Industrial,Rear-end,Moderate,Bus
2025-01-10,14:14:00,Highway,Pedestrian,Moderate,Car
2025-01-10,14:14:00,North,Single Vehicle,Severe,Motorcycle
2025-01-11,09:54:00,Highway,Pedestrian,Severe,Bus
2025-01-11,12:38:00,Central,Collision,Severe,Truck
2025-01-11,18:12:00,Highway,Pedestrian,Fatal,Motorcycle
2025-01-11,06:16:00,South,Collision,Minor,Truck
2025-01-11,16:31:00,South,Collision,Fatal,Auto
2025-01-11,19:08:00,East,Collision,Moderate,Motorcycle
2025-01-11,03:39:00,Suburban,Rear-end,Minor,Bus
2025-01-11,04:19:00,Central,Single Vehicle,Moderate,Bicycle
2025-01-11,22:25:00,South,Collision,Moderate,Truck
2025-01-11,06:26:00,Highway,Collision,Severe,Motorcycle
2025-01-11,12:20:00,South,Single Vehicle,Minor,Car
2025-01-11,14:17:00,North,Collision,Moderate,Car
2025-01-11,10:12:00,East,Pedestrian,Minor,Motorcycle
2025-01-11,03:15:00,South,Collision,Minor,Bus
2025-01-11,12:08:00,Suburban,Collision,Minor,Motorcycle
2025-01-12,06:11:00,Highway,Single Vehicle,Moderate,Bicycle
2025-01-12,18:43:00,East,Collision,Severe,Car
2025-01-12,21:37:00,Suburban,Rear-end,Minor,Bus
2025-01-12,01:18:00,East,Collision,Moderate,Car
2025-01-12,09:59:00,Central,Collision,Minor,Motorcycle
2025-01-12,12:06:00,North,Collision,Minor,Bus
2025-01-12,20:56:00,East,Collision,Moderate,Car
2025-01-12,05:34:00,Central,Collision,Minor,Car
2025-01-12,11:47:00,Suburban,Pedestrian,Moderate,Motorcycle
2025-01-12,11:17:00,Highway,Rear-end,Minor,Motorcycle
2025-01-12,19:15:00,North,Collision,Minor,Bus
2025-01-12,10:54:00,West,Rear-end,Moderate,Bicycle
2025-01-12,22:38:00,Industrial,Single Vehicle,Moderate,Car
2025-01-12,06:03:00,Suburban,Single Vehicle,Minor,Motorcycle
2025-01-13,00:58:00,Highway,Hit-and-run,Moderate,Truck
2025-01-13,00:24:00,East,Single Vehicle,Severe,Bicycle
2025-01-13,19:31:00,Highway,Collision,Moderate,Auto
2025-01-13,12:39:00,West,Rear-end,Minor,Truck
2025-01-13,08:12:00,West,Rear-end,Moderate,Motorcycle
2025-01-13,02:44:00,Central,Hit-and-run,Moderate,Car
2025-01-13,06:16:00,Central,Rear-end,Minor,Car
2025-01-13,05:48:00,East,Rear-end,Severe,Motorcycle
2025-01-13,07:36:00,North,Single Vehicle,Severe,Truck
2025-01-13,08:05:00,Central,Pedestrian,Severe,Truck
2025-01-13,04:18:00,Industrial,Rear-end,Severe,Truck
2025-01-13,00:12:00,Central,Hit-and-run,Moderate,Motorcycle
2025-01-13,18:56:00,West,Collision,Moderate,Truck
2025-01-13,09:59:00,East,Collision,Moderate,Car
2025-01-14,11:25:00,Suburban,Collision,Severe,Car
2025-01-14,23:13:00,East,Rear-end,Moderate,Car
2025-01-14,14:30:00,Central,Collision,Minor,Auto
2025-01-14,21:53:00,West,Pedestrian,Minor,Car
2025-01-14,23:03:00,Highway,Collision,Severe,Bus
2025-01-14,08:59:00,Suburban,Rear-end,Minor,Car
2025-01-14,19:38:00,East,Collision,Moderate,Motorcycle
2025-01-14,16:07:00,South,Collision,Fatal,Auto
2025-01-14,16:24:00,Highway,Single Vehicle,Moderate,Motorcycle
2025-01-14,19:12:00,North,Rear-end,Fatal,Car
2025-01-14,11:31:00,West,Single Vehicle,Moderate,Car
2025-01-14,06:58:00,South,Single Vehicle,Minor,Auto
2025-01-14,01:37:00,Central,Collision,Severe,Motorcycle
2025-01-14,02:37:00,South,Collision,Minor,Motorcycle
2025-01-15,16:55:00,North,Single Vehicle,Minor,Motorcycle
2025-01-15,04:27:00,Industrial,Single Vehicle,Minor,Car
2025-01-15,16:52:00,Suburban,Hit-and-run,Minor,Car
2025-01-15,23:29:00,North,Pedestrian,Minor,Truck
2025-01-15,16:02:00,Highway,Pedestrian,Minor,Truck
2025-01-15,16:27:00,Central,Collision,Moderate,Car
2025-01-15,01:02:00,East,Rear-end,Severe,Bus
2025-01-15,01:44:00,Central,Pedestrian,Minor,Auto
2025-01-15,21:53:00,Suburban,Hit-and-run,Minor,Auto
2025-01-15,22:33:00,Highway,Collision,Moderate,Car
2025-01-15,04:15:00,West,Collision,Moderate,Car
2025-01-15,00:21:00,Highway,Collision,Severe,Auto
2025-01-15,00:31:00,West,Collision,Minor,Unknown
2025-01-15,18:37:00,Suburban,Single Vehicle,Severe,Car
2025-01-15,01:07:00,Industrial,Collision,Moderate,Auto
2025-01-16,20:54:00,Suburban,Collision,Moderate,Car
2025-01-16,11:07:00,East,Collision,Minor,Car
2025-01-16,05:56:00,Central,Rear-end,Minor,Motorcycle
2025-01-16,22:05:00,East,Rear-end,Minor,Auto
2025-01-16,03:13:00,Central,Collision,Minor,Car
2025-01-16,22:31:00,West,Collision,Moderate,Auto
2025-01-16,10:34:00,East,Collision,Severe,Motorcycle
2025-01-16,23:09:00,West,Rear-end,Moderate,Motorcycle
2025-01-16,16:02:00,Central,Collision,Moderate,Car
2025-01-16,05:58:00,North,Single Vehicle,Moderate,Car
2025-01-16,23:11:00,East,Rear-end,Minor,Truck
2025-01-16,04:48:00,Suburban,Collision,Fatal,Motorcycle
2025-01-16,19:58:00,South,Hit-and-run,Moderate,Auto
2025-01-16,01:30:00,East,Collision,Minor,Unknown
2025-01-17,05:28:00,Industrial,Hit-and-run,Minor,Motorcycle
2025-01-17,21:04:00,West,Collision,Moderate,Car
2025-01-17,10:51:00,South,Rear-end,Moderate,Bus
2025-01-17,15:24:00,South,Pedestrian,Minor,Motorcycle
2025-01-17,15:40:00,North,Single Vehicle,Severe,Car
2025-01-17,00:30:00,Suburban,Collision,Moderate,Auto
2025-01-17,08:20:00,Central,Collision,Moderate,Motorcycle
2025-01-17,05:57:00,South,Rear-end,Minor,Motorcycle
2025-01-17,15:19:00,Central,Single Vehicle,Minor,Motorcycle
2025-01-17,02:38:00,North,Single Vehicle,Severe,Truck
2025-01-17,19:21:00,Highway,Collision,Severe,Car
2025-01-17,03:03:00,North,Collision,Minor,Car
2025-01-17,18:12:00,Central,Rear-end,Minor,Bus
2025-01-17,02:44:00,East,Collision,Minor,Car
2025-01-18,18:41:00,Central,Collision,Minor,Truck
2025-01-18,19:49:00,Unknown,Collision,Moderate,Car
2025-01-18,06:48:00,Highway,Hit-and-run,Fatal,Car
2025-01-18,19:19:00,Highway,Single Vehicle,Minor,Car
2025-01-18,08:51:00,Suburban,Single Vehicle,Minor,Motorcycle
2025-01-18,00:12:00,Highway,Collision,Severe,Truck
2025-01-18,07:16:00,Industrial,Rear-end,Minor,Car
2025-01-18,06:53:00,Central,Single Vehicle,Fatal,Car
2025-01-18,17:35:00,Highway,Collision,Moderate,Auto
2025-01-18,07:32:00,Highway,Hit-and-run,Severe,Motorcycle
2025-01-18,00:00:00,Highway,Rear-end,Minor,Bus
2025-01-18,10:14:00,East,Collision,Minor,Auto
2025-01-18,17:12:00,North,Rear-end,Moderate,Bicycle
2025-01-18,22:16:00,Highway,Collision,Minor,Auto
2025-01-18,09:23:00,Industrial,Hit-and-run,Minor,Car
2025-01-19,02:57:00,Suburban,Collision,Fatal,Bicycle
2025-01-19,06:07:00,Central,Collision,Severe,Bus
2025-01-19,15:49:00,North,Collision,Moderate,Auto
2025-01-19,15:26:00,North,Single Vehicle,Minor,Car
2025-01-19,19:44:00,Highway,Rear-end,Moderate,Bicycle
2025-01-19,16:22:00,North,Rear-end,Moderate,Bus
2025-01-19,01:45:00,Central,Rear-end,Minor,Bus
2025-01-19,00:07:00,Suburban,Rear-end,Severe,Car
2025-01-19,15:07:00,Central,Collision,Minor,Car
2025-01-19,11:58:00,Highway,Pedestrian,Minor,Bicycle
2025-01-19,04:25:00,South,Collision,Minor,Motorcycle
2025-01-19,04:46:00,Highway,Collision,Severe,Car
2025-01-19,22:58:00,West,Hit-and-run,Moderate,Auto
2025-01-19,08:12:00,Highway,Collision,Minor,Car
2025-01-20,08:38:00,Suburban,Collision,Minor,Car
2025-01-20,02:36:00,Central,Rear-end,Minor,Car
2025-01-20,18:48:00,Central,Rear-end,Minor,Car
2025-01-20,15:27:00,North,Hit-and-run,Minor,Car
2025-01-20,15:24:00,Industrial,Hit-and-run,Minor,Car
2025-01-20,02:15:00,Highway,Hit-and-run,Minor,Car
2025-01-20,19:54:00,East,Hit-and-run,Severe,Truck
2025-01-20,23:01:00,West,Collision,Moderate,Auto
2025-01-20,21:53:00,North,Collision,Moderate,Motorcycle
2025-01-20,23:17:00,Highway,Rear-end,Minor,Car
2025-01-20,00:16:00,Suburban,Collision,Minor,Car
2025-01-20,23:29:00,North,Single Vehicle,Minor,Auto
2025-01-20,19:38:00,East,Pedestrian,Minor,Bicycle
2025-01-20,10:12:00,Central,Collision,Minor,Car
2025-01-21,16:31:00,West,Collision,Severe,Car
2025-01-21,07:49:00,East,Collision,Severe,Motorcycle
2025-01-21,03:28:00,Central,Collision,Minor,Bus
2025-01-21,05:45:00,East,Collision,Minor,Motorcycle
2025-01-21,07:29:00,South,Rear-end,Fatal,Truck
2025-01-21,19:17:00,East,Single Vehicle,Minor,Truck
2025-01-21,02:12:00,West,Hit-and-run,Moderate,Bicycle
2025-01-21,15:42:00,Central,Collision,Fatal,Car
2025-01-21,02:20:00,Highway,Rear-end,Fatal,Bicycle
2025-01-21,17:29:00,Industrial,Rear-end,Minor,Car
2025-01-21,13:20:00,South,Pedestrian,Minor,Truck
2025-01-21,17:47:00,Central,Pedestrian,Minor,Motorcycle
2025-01-21,01:54:00,Industrial,Single Vehicle,Severe,Motorcycle
2025-01-21,21:16:00,Suburban,Rear-end,Severe,Truck
2025-01-22,02:39:00,North,Hit-and-run,Moderate,Car
2025-01-22,15:18:00,South,Collision,Moderate,Car
2025-01-22,08:51:00,North,Rear-end,Moderate,Motorcycle
2025-01-22,03:14:00,West,Collision,Moderate,Motorcycle
2025-01-22,00:08:00,Central,Rear-end,Severe,Car
2025-01-22,03:51:00,South,Hit-and-run,Moderate,Auto
2025-01-22,00:09:00,Industrial,Collision,Moderate,Car
2025-01-22,13:43:00,West,Collision,Minor,Car
2025-01-22,20:30:00,South,Collision,Moderate,Car
2025-01-22,15:52:00,East,Collision,Minor,Motorcycle
2025-01-22,19:22:00,West,Collision,Minor,Car
2025-01-22,23:51:00,Central,Collision,Severe,Motorcycle
2025-01-22,07:29:00,Central,Collision,Moderate,Car
2025-01-22,06:32:00,Highway,Collision,Severe,Car
2025-01-22,02:56:00,Central,Single Vehicle,Minor,Bus
2025-01-23,16:51:00,Industrial,Collision,Moderate,Unknown
2025-01-23,00:08:00,Suburban,Collision,Minor,Car
2025-01-23,15:53:00,North,Rear-end,Severe,Car
2025-01-23,11:46:00,South,Single Vehicle,Minor,Auto
2025-01-23,18:00:00,West,Hit-and-run,Moderate,Car
2025-01-23,21:43:00,Highway,Collision,Severe,Auto
2025-01-23,22:34:00,Suburban,Rear-end,Minor,Motorcycle
2025-01-23,21:10:00,Industrial,Hit-and-run,Fatal,Car
2025-01-23,13:33:00,Central,Hit-and-run,Severe,Bus
2025-01-23,05:15:00,Industrial,Hit-and-run,Minor,Auto
2025-01-23,05:08:00,South,Single Vehicle,Minor,Car
2025-01-23,12:31:00,East,Single Vehicle,Minor,Car
2025-01-23,18:14:00,Central,Rear-end,Minor,Motorcycle
2025-01-23,21:11:00,North,Rear-end,Severe,Auto
2025-01-24,07:32:00,Highway,Hit-and-run,Fatal,Truck
2025-01-24,01:44:00,East,Pedestrian,Minor,Car
2025-01-24,20:13:00,South,Collision,Minor,Car
2025-01-24,00:56:00,South,Single Vehicle,Moderate,Car
2025-01-24,14:56:00,Unknown,Collision,Minor,Car
2025-01-24,00:07:00,Industrial,Rear-end,Minor,Car
2025-01-24,04:07:00,North,Single Vehicle,Minor,Truck
2025-01-24,15:26:00,Central,Collision,Moderate,Car
2025-01-24,18:11:00,North,Rear-end,Moderate,Car
2025-01-24,03:00:00,Suburban,Collision,Moderate,Truck
2025-01-24,02:42:00,West,Rear-end,Minor,Car
2025-01-24,16:39:00,East,Collision,Severe,Car
2025-01-24,16:41:00,West,Collision,Moderate,Car
2025-01-24,11:50:00,South,Collision,Severe,Car
2025-01-25,13:10:00,Highway,Single Vehicle,Minor,Auto
2025-01-25,20:38:00,East,Single Vehicle,Severe,Truck
2025-01-25,05:42:00,Central,Collision,Severe,Car
2025-01-25,02:30:00,Central,Hit-and-run,Minor,Car
2025-01-25,08:16:00,East,Collision,Minor,Car
2025-01-25,04:32:00,Suburban,Collision,Severe,Motorcycle
2025-01-25,23:31:00,South,Collision,Moderate,Motorcycle
2025-01-25,16:57:00,Highway,Single Vehicle,Severe,Motorcycle
2025-01-25,13:28:00,Highway,Single Vehicle,Severe,Car
2025-01-25,20:20:00,North,Collision,Moderate,Car
2025-01-25,02:20:00,Central,Collision,Minor,Bus
2025-01-25,00:39:00,Central,Collision,Minor,Auto
2025-01-25,19:22:00,Industrial,Rear-end,Fatal,Auto
2025-01-25,20:55:00,North,Rear-end,Minor,Car
2025-01-25,22:05:00,South,Collision,Minor,Truck
2025-01-26,00:21:00,East,Pedestrian,Moderate,Truck
2025-01-26,02:49:00,Industrial,Collision,Moderate,Auto
2025-01-26,17:37:00,Central,Single Vehicle,Minor,Car
2025-01-26,09:36:00,South,Hit-and-run,Minor,Bus
2025-01-26,21:44:00,East,Rear-end,Minor,Car
2025-01-26,02:50:00,West,Pedestrian,Minor,Truck
2025-01-26,07:53:00,Highway,Pedestrian,Moderate,Car
2025-01-26,13:07:00,Central,Collision,Minor,Bus
2025-01-26,23:40:00,Highway,Collision,Severe,Auto
2025-01-26,17:48:00,Industrial,Single Vehicle,Severe,Car
2025-01-26,14:34:00,West,Collision,Moderate,Motorcycle
2025-01-26,21:50:00,Industrial,Collision,Minor,Car
2025-01-26,22:10:00,South,Rear-end,Moderate,Car
2025-01-26,01:23:00,Central,Pedestrian,Minor,Car
2025-01-27,09:48:00,Industrial,Pedestrian,Minor,Car
2025-01-27,01:20:00,East,Single Vehicle,Severe,Auto
2025-01-27,16:50:00,West,Rear-end,Moderate,Car
2025-01-27,07:01:00,South,Collision,Severe,Truck
2025-01-27,00:39:00,Highway,Rear-end,Minor,Auto
2025-01-27,08:18:00,West,Pedestrian,Minor,Auto
2025-01-27,10:38:00,Central,Collision,Fatal,Bus
2025-01-27,21:27:00,East,Collision,Moderate,Car
2025-01-27,15:58:00,Industrial,Collision,Moderate,Bus
2025-01-27,06:16:00,Highway,Rear-end,Moderate,Car
2025-01-27,09:05:00,East,Single Vehicle,Minor,Auto
2025-01-27,22:18:00,Highway,Hit-and-run,Moderate,Truck
2025-01-27,02:55:00,North,Single Vehicle,Minor,Bus
2025-01-27,17:37:00,South,Collision,Moderate,Car
2025-01-28,23:27:00,Highway,Single Vehicle,Moderate,Motorcycle
2025-01-28,12:01:00,Highway,Pedestrian,Severe,Auto
2025-01-28,06:37:00,Unknown,Collision,Moderate,Auto
2025-01-28,03:54:00,Highway,Single Vehicle,Minor,Car
2025-01-28,12:36:00,Central,Collision,Moderate,Auto
2025-01-28,19:50:00,Highway,Single Vehicle,Minor,Car
2025-01-28,00:51:00,South,Single Vehicle,Minor,Motorcycle
2025-01-28,07:03:00,Central,Pedestrian,Minor,Truck
2025-01-28,13:21:00,North,Rear-end,Moderate,Car
2025-01-28,15:25:00,South,Collision,Minor,Car
2025-01-28,13:48:00,North,Rear-end,Minor,Bus
2025-01-28,11:42:00,South,Collision,Severe,Car
2025-01-28,18:35:00,Central,Pedestrian,Moderate,Car
2025-01-28,22:57:00,South,Pedestrian,Minor,Bus
2025-01-29,14:12:00,West,Single Vehicle,Minor,Auto
2025-01-29,01:51:00,East,Collision,Moderate,Motorcycle
2025-01-29,01:57:00,South,Pedestrian,Severe,Car
2025-01-29,22:31:00,Industrial,Single Vehicle,Minor,Car
2025-01-29,21:16:00,Highway,Pedestrian,Severe,Truck
2025-01-29,18:40:00,Industrial,Collision,Moderate,Motorcycle
2025-01-29,21:35:00,South,Collision,Moderate,Truck
2025-01-29,21:54:00,Industrial,Collision,Fatal,Bus
2025-01-29,16:59:00,Central,Hit-and-run,Moderate,Motorcycle
2025-01-29,19:45:00,Central,Hit-and-run,Severe,Car
2025-01-29,09:18:00,South,Single Vehicle,Minor,Auto
2025-01-29,05:57:00,Highway,Rear-end,Moderate,Motorcycle
2025-01-29,14:59:00,North,Collision,Moderate,Motorcycle
2025-01-29,21:34:00,Central,Hit-and-run,Minor,Auto
2025-01-29,10:45:00,Central,Pedestrian,Moderate,Auto
2025-01-30,04:39:00,Highway,Single Vehicle,Minor,Motorcycle
2025-01-30,00:55:00,West,Pedestrian,Minor,Car
2025-01-30,07:58:00,Unknown,Rear-end,Minor,Bicycle
2025-01-30,20:27:00,West,Hit-and-run,Moderate,Truck
2025-01-30,11:00:00,East,Single Vehicle,Severe,Car
2025-01-30,11:41:00,West,Rear-end,Minor,Motorcycle
2025-01-30,04:17:00,North,Collision,Moderate,Car
2025-01-30,06:47:00,Highway,Collision,Minor,Auto
2025-01-30,03:39:00,South,Collision,Severe,Motorcycle
2025-01-30,05:32:00,Industrial,Hit-and-run,Moderate,Auto
2025-01-30,12:11:00,Central,Collision,Moderate,Auto
2025-01-30,19:07:00,South,Collision,Severe,Auto
2025-01-30,14:23:00,South,Collision,Minor,Truck
2025-01-30,02:15:00,West,Rear-end,Moderate,Auto
2025-01-31,22:49:00,Central,Rear-end,Fatal,Car
2025-01-31,07:03:00,Highway,Hit-and-run,Minor,Car
2025-01-31,19:37:00,North,Collision,Moderate,Auto
2025-01-31,15:43:00,Industrial,Collision,Fatal,Motorcycle
2025-01-31,12:26:00,Highway,Rear-end,Minor,Car
2025-01-31,17:08:00,West,Collision,Severe,Car
2025-01-31,09:46:00,Industrial,Collision,Severe,Car
2025-01-31,18:15:00,Industrial,Collision,Moderate,Bus
2025-01-31,16:55:00,South,Single Vehicle,Minor,Truck
2025-01-31,23:11:00,Highway,Hit-and-run,Minor,Car
2025-01-31,18:30:00,South,Collision,Minor,Auto
2025-01-31,22:23:00,West,Collision,Severe,Car
2025-01-31,04:54:00,Industrial,Single Vehicle,Severe,Bus
2025-01-31,20:13:00,South,Hit-and-run,Moderate,Motorcycle
2025-02-01,22:44:00,South,Rear-end,Minor,Truck
2025-02-01,08:24:00,East,Hit-and-run,Minor,Car
2025-02-01,11:33:00,Highway,Pedestrian,Moderate,Car
2025-02-01,20:02:00,Suburban,Pedestrian,Moderate,Auto
2025-02-01,00:57:00,West,Rear-end,Severe,Car
2025-02-01,00:23:00,Industrial,Rear-end,Moderate,Bicycle
2025-02-01,14:53:00,Highway,Collision,Severe,Truck
2025-02-01,01:41:00,Central,Single Vehicle,Moderate,Motorcycle
2025-02-01,21:08:00,North,Rear-end,Moderate,Truck
2025-02-01,15:25:00,Industrial,Collision,Minor,Car
2025-02-01,07:19:00,Highway,Single Vehicle,Severe,Motorcycle
